rera_no,project_name,promoter,location,pincode,district,state,lat,lng,last_modified,details_url
P51700000659,LODHA SPLENDORA - PLATINO - D,MACROTECH DEVELOPERS LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2018-04-06,https://maharerait.maharashtra.gov.in/public/project/view/2096
P51700000586,SALASAR GREENS,SALASAR ESTATE DEVELOPERS LLP,Thane,401107,Thane,MAHARASHTRA,,,2023-09-08,https://maharerait.maharashtra.gov.in/public/project/view/2228
P51700011663,VASTU SIDDHI,SIDDHIVINAYAK GROUP,Ambarnath,421505,Thane,MAHARASHTRA,,,2019-12-03,https://maharerait.maharashtra.gov.in/public/project/view/2297
P51700001654,VISHWAJEET ELITE,VISHWAJEET MEADOWS,Ambarnath,421501,Thane,MAHARASHTRA,,,2018-10-12,https://maharerait.maharashtra.gov.in/public/project/view/2327
P51700000766,RAUNAK HEIGHTS,UNNATHI ASSOCIATES,Thane,400615,Thane,MAHARASHTRA,,,2017-07-23,https://maharerait.maharashtra.gov.in/public/project/view/2368
P51700004837,Sukoon Heights,VIRANI CONSTRUCTION COMPANY,Thane,400612,Thane,MAHARASHTRA,,,2017-08-09,https://maharerait.maharashtra.gov.in/public/project/view/2377
P51700009599,EKDANTAY,R K BUILDCON,Kalyan,421605,Thane,MAHARASHTRA,,,2018-04-18,https://maharerait.maharashtra.gov.in/public/project/view/2387
P51900010004,KIPL Morya,khade Infrastructre Pvt. Ltd.,Thane,400615,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/2416
P51700000038,THE WHITE VILLAS,St. Angelo's VNCT Ventures Pvt. Ltd.,Shahapur,420601,Thane,MAHARASHTRA,,,2026-09-23,https://maharerait.maharashtra.gov.in/public/project/view/2491
P51700000885,KEYSTONE SOLISTA,Keystone Lifespaces Private Limited,Thane,400706,Thane,MAHARASHTRA,,,2017-07-23,https://maharerait.maharashtra.gov.in/public/project/view/2616
P51700000111,Bharat Ecovistas Phase II,BHARAT REALTY VENTURE PRIVATE LIMITED,Thane,400616,Thane,MAHARASHTRA,,,2022-05-19,https://maharerait.maharashtra.gov.in/public/project/view/2643
P51700000782,Kondilkar Residency,Aditi Construction,Ambarnath,421503,Thane,MAHARASHTRA,,,2017-07-23,https://maharerait.maharashtra.gov.in/public/project/view/2676
P51700000734,VASANT FIONA,Sheth Developers Private Limited,Thane,400601,Thane,MAHARASHTRA,,,2017-07-23,https://maharerait.maharashtra.gov.in/public/project/view/2723
P51700010440,SATYAM OLEANDER,SAHYOG GROUP,Ambarnath,421501,Thane,MAHARASHTRA,,,2017-08-27,https://maharerait.maharashtra.gov.in/public/project/view/2838
P51700002757,DEVBHOOMI RESIDENTIAL COMPLEX,Akshay Enterprises,Ambarnath,421503,Thane,MAHARASHTRA,,,2017-08-04,https://maharerait.maharashtra.gov.in/public/project/view/2852
P51700011790,ORCHID,ROYALE URBANSPACE LLP,Shahapur,421601,Thane,MAHARASHTRA,,,2017-08-31,https://maharerait.maharashtra.gov.in/public/project/view/2865
P51700001851,REDEVELOPMENT OF PARIJAT BUILDING OF SANKSRITI NAGAR COOP HSG SOC LTD,OJASS CONSTRUCTIONS,Thane,400602,Thane,MAHARASHTRA,,,2017-07-29,https://maharerait.maharashtra.gov.in/public/project/view/2904
P51700008568,THE CHALETS AVENUE,ASSETS REALITY,Ambarnath,421503,Thane,MAHARASHTRA,,,2026-09-01,https://maharerait.maharashtra.gov.in/public/project/view/2910
P51700000427,FORTUNA B,ROMA BUILDERS PRIVATE LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2018-01-11,https://maharerait.maharashtra.gov.in/public/project/view/2931
P51700000068,NG GRAND PLAZA PHASE I,OM NAMAH SHIVAY DEVELOPERS PRIVATE LIMITED,Thane,400701,Thane,MAHARASHTRA,,,2017-06-22,https://maharerait.maharashtra.gov.in/public/project/view/2943
P51700000395,PALAVA VISTA A to D,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/2990
P51700000378,Palava Cielo A - F,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/2993
P51700000125,PALAVA - ELITE - A to J,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3002
P51700000342,PALAVA VIENTO A to D,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3006
P51700008571,RAMBHUVAN RESIDENCY,ABHAY ANANT KAMAT,Kalyan,421201,Thane,MAHARASHTRA,,,2018-01-15,https://maharerait.maharashtra.gov.in/public/project/view/3016
P51700000269,PALAVA - PASEO - D to H,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3034
P51700000389,PALAVA ELITE K TO T,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3041
P51700000124,PALAVA LAGOONA A TO F,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3061
P51700000384,PALAVA LAKESIDE A to H,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3062
P51700000391,PALAVA PRIMIA E to J,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3077
P51700000410,PALAVA LAKESIDE I TO O,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3083
P51700000142,PALAVA - UNO H - O,Palava Dwellers Private Limited,Kalyan,421202,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/3088
